,node1,node2,timestamp
0,1,2,43596
1,1,3,6513
2,1,4,49453
3,1,5,19155
4,1,6,11310
9,1,11,16666
10,1,12,18875
11,1,13,11610
12,1,14,35052
13,1,15,39075
15,1,17,48107
16,18,19,2562
17,18,19,4837
19,20,21,2979
24,28,29,33467
25,1,7,18227
26,29,30,5344
27,28,29,1225
28,11,31,6329
33,11,33,24397
34,1,7,2408
35,21,34,44039
37,36,37,5522
39,11,25,34850
43,21,39,15355
44,3,13,23553
46,8,13,47738
47,13,35,6715
49,4,13,9449
51,42,43,8484
53,42,43,42442
54,42,44,52761
55,26,45,3671
56,21,46,14725
57,3,42,39600
58,1,16,45158
59,1,16,56047
60,47,48,30648
61,8,16,16397
63,8,16,7857
64,42,49,55903
67,26,32,30056
68,22,29,720
69,3,8,26217
70,3,13,6643
72,3,35,50507
73,3,51,17807
75,3,18,7940
76,3,53,15785
79,1,46,33688
83,1,46,11712
84,55,56,21297
85,50,55,33386
87,3,13,11201
90,27,42,31546
93,23,55,19877
94,19,21,20029
95,19,23,8787
96,2,59,5924
97,24,34,25982
100,24,34,16108
101,42,55,50140
103,23,60,16103
104,2,59,28517
105,3,13,3294
106,3,18,26134
107,33,61,38176
108,23,61,16857
109,42,62,55900
110,62,63,10789
111,62,64,51469
113,13,35,24249
114,4,13,6371
116,23,65,33148
118,3,66,8912
119,3,67,11867
120,3,8,14048
123,3,69,36765
124,3,17,24181
125,21,70,41174
126,24,25,1760
127,7,10,29074
129,5,72,42874
130,5,73,23145
131,5,74,20025
136,4,13,25993
137,3,4,35456
139,27,66,19298
140,15,27,31805
141,7,10,27970
150,20,62,30928
151,8,62,56143
153,35,62,20122
156,3,62,45416
157,15,62,31873
159,8,62,44521
160,33,62,7407
162,15,62,229
163,15,62,49364
165,15,62,18045
166,20,62,8094
167,8,62,44066
168,33,62,23954
171,8,62,21197
172,8,62,38002
175,15,62,56193
178,33,62,6988
179,35,62,42161
180,3,62,44527
182,35,62,39673
183,35,62,4229
185,20,62,36729
186,8,62,10329
187,33,62,7595
188,35,62,53763
189,15,62,1900
190,15,62,39129
192,35,62,2959
194,35,62,28963
195,3,62,27058
197,15,61,44208
199,30,32,32409
200,1,46,17875
202,19,76,955
205,6,7,12549
206,1,6,56072
208,1,6,42047
212,23,78,9843
214,43,79,18314
215,43,79,34180
217,43,79,6026
218,43,79,15281
219,79,80,51111
220,15,32,27164
221,15,32,37149
223,33,62,7147
224,33,62,3595
225,33,62,31828
226,3,81,1720
228,3,27,46373
229,47,50,5265
230,20,62,9002
231,20,62,52098
234,27,68,50630
242,50,68,19710
243,3,8,1125
246,21,82,35905
247,22,29,10594
248,25,26,28367
250,24,26,3917
251,3,13,8435
253,13,35,13180
254,13,40,18261
257,15,17,39325
258,17,54,17669
259,5,73,16261
260,8,13,13020
262,17,54,39063
264,68,74,10420
269,68,74,17610
270,1,73,20765
272,1,73,22528
273,84,85,53200
274,42,84,21339
275,3,53,33805
276,69,86,2910
277,69,86,5227
278,42,84,25089
280,68,85,49453
282,15,33,39557
283,33,61,32925
284,15,33,46935
286,12,15,42638
287,42,62,47007
288,21,31,12912
290,24,51,5961
291,3,24,38517
292,8,24,18541
293,1,73,1332
296,1,74,23548
297,1,74,525
298,64,67,44238
299,50,76,9015
301,3,24,31415
302,4,13,3034
304,50,76,16035
305,69,86,11446
306,3,13,40374
309,5,73,36671
315,8,24,51725
317,7,32,57508
319,33,42,12696
320,27,77,11584
321,14,77,21410
322,21,56,8694
323,21,84,1993
325,21,76,56773
326,21,89,12608
327,21,68,52539
328,21,86,51603
329,21,90,24562
330,21,47,12529
332,21,69,21328
333,21,48,864
335,21,84,17313
336,21,86,7086
337,21,89,6004
338,21,48,11282
346,14,77,31642
347,21,56,21353
348,21,69,30958
349,21,88,4193
352,21,90,38211
353,21,84,13625
354,21,89,21549
355,21,76,19264
356,12,31,44348
357,21,86,49896
360,14,77,19335
361,14,77,54914
363,5,72,28681
365,5,72,12161
370,38,77,52345
371,66,77,7142
372,24,77,36670
374,27,77,17384
375,27,69,16345
377,1,2,16223
380,3,35,6356
383,27,80,1669
384,34,38,56459
385,44,63,53930
388,20,62,54613
389,27,62,35979
391,39,62,28181
394,9,62,12338
397,26,62,27205
399,62,68,28241
400,62,91,2536
401,62,80,36766
402,62,79,12420
404,19,86,7463
408,62,80,35524
409,1,74,22319
